                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.92194,                0.81326,                  1.322,                0.84586,                0.84761,                0.89407,                0.55504,                 1.3475,                0.74537,                 1.6808,               0.003664,               0.003664,               0.003664
                     66,                0.92087,                0.81347,                 1.3179,                 0.8433,                0.85206,                0.89663,                0.55765,                 1.3512,                0.75051,                 1.6836,               0.003565,               0.003565,               0.003565
                     67,                0.91976,                0.80351,                 1.3152,                0.84791,                0.85762,                0.90372,                0.56353,                 1.3474,                0.73871,                 1.6816,               0.003466,               0.003466,               0.003466
                     68,                0.90881,                0.79485,                 1.3111,                0.84942,                0.84082,                0.90084,                0.56188,                  1.336,                0.73945,                 1.6718,               0.003367,               0.003367,               0.003367
                     69,                0.91266,                0.79174,                 1.3117,                0.85534,                0.83426,                0.90574,                0.56646,                 1.3264,                0.73898,                 1.6608,               0.003268,               0.003268,               0.003268
                     70,                0.90674,                0.78216,                 1.3078,                0.83319,                0.86541,                0.90207,                0.56704,                 1.3198,                0.73286,                 1.6594,               0.003169,               0.003169,               0.003169
                     71,                0.89657,                0.79044,                 1.3025,                0.83961,                0.85206,                0.89923,                0.56554,                 1.3069,                0.73092,                 1.6497,                0.00307,                0.00307,                0.00307
                     72,                0.89158,                0.78016,                 1.2941,                 0.8375,                 0.8427,                0.89887,                0.56185,                 1.3131,                0.74156,                 1.6584,               0.002971,               0.002971,               0.002971
                     73,                0.88488,                0.76606,                 1.2906,                0.80923,                 0.8682,                0.89586,                0.56475,                 1.3114,                0.73867,                 1.6605,               0.002872,               0.002872,               0.002872
                     74,                0.88434,                0.77021,                 1.2923,                0.82154,                0.86539,                0.89916,                0.56471,                 1.3202,                0.73786,                 1.6697,               0.002773,               0.002773,               0.002773
                     75,                 0.8746,                0.75775,                 1.2836,                0.85275,                0.82454,                0.89816,                0.56786,                  1.318,                0.74222,                 1.6668,               0.002674,               0.002674,               0.002674
                     76,                0.87327,                0.74504,                 1.2803,                0.82086,                0.86138,                0.89886,                0.56677,                 1.3111,                0.73917,                 1.6575,               0.002575,               0.002575,               0.002575
                     77,                0.87522,                0.75417,                  1.287,                0.82083,                0.86632,                0.89891,                0.56665,                 1.3104,                0.73952,                 1.6592,               0.002476,               0.002476,               0.002476
                     78,                0.86347,                0.74844,                 1.2798,                0.83161,                0.85873,                0.90172,                0.56739,                 1.3012,                0.72836,                 1.6548,               0.002377,               0.002377,               0.002377
                     79,                0.85326,                 0.7384,                  1.274,                0.84346,                0.84427,                 0.8993,                0.56631,                 1.2953,                0.72251,                 1.6505,               0.002278,               0.002278,               0.002278
                     80,                0.85483,                0.73803,                 1.2693,                0.84551,                0.83648,                0.89897,                0.56486,                 1.3023,                 0.7228,                 1.6571,               0.002179,               0.002179,               0.002179
                     81,                 0.8477,                0.73303,                 1.2678,                0.83651,                0.84538,                0.89726,                0.56397,                 1.3107,                0.72531,                 1.6614,                0.00208,                0.00208,                0.00208
                     82,                0.84067,                 0.7211,                 1.2618,                0.84074,                0.85095,                0.89869,                0.56523,                 1.3145,                0.73115,                 1.6658,               0.001981,               0.001981,               0.001981
                     83,                0.84115,                0.72398,                 1.2607,                0.85143,                0.84872,                0.90161,                0.56583,                 1.3203,                0.73225,                 1.6691,               0.001882,               0.001882,               0.001882
                     84,                0.83343,                0.70921,                 1.2559,                0.81345,                0.87875,                 0.8978,                 0.5645,                 1.3228,                0.72897,                 1.6711,               0.001783,               0.001783,               0.001783
                     85,                0.82977,                0.71174,                 1.2554,                 0.8472,                0.84494,                  0.897,                0.56142,                 1.3306,                0.73124,                 1.6787,               0.001684,               0.001684,               0.001684
